Fecha,Año,Mes,Mes_Nombre,Dia,Trimestre,Producto,Categoría,Cantidad,Precio,Ciudad,Total_Venta
2026-05-11,2026,5,Mayo,11,2026Q2,USB 128GB,Almacenamiento,17,75.0,Moquegua,1275.0
2026-02-20,2026,2,Febrero,20,2026Q1,USB 128GB,Almacenamiento,1,75.0,Cusco,75.0
2026-07-16,2026,7,Julio,16,2026Q3,Router WiFi,Redes,18,218.5,Puno,3933.0
2026-04-12,2026,4,Abril,12,2026Q2,Audífonos Pro,Accesorios,15,275.0,Trujillo,4125.0
2026-02-16,2026,2,Febrero,16,2026Q1,Cable UTP,Redes,2,27.5,Puno,55.0
2026-07-08,2026,7,Julio,8,2026Q3,Monitor 27,Computadoras,14,1187.5,Tacna,16625.0
2026-01-12,2026,1,Enero,12,2026Q1,Switch 8P,Redes,2,310.0,Puno,620.0
2026-07-21,2026,7,Julio,21,2026Q3,Impresora Multifunción,Impresoras,20,1207.5,Arequipa,24150.0
2026-05-02,2026,5,Mayo,2,2026Q2,Laptop C,Computadoras,20,4100.0,Arequipa,82000.0
2026-07-26,2026,7,Julio,26,2026Q3,Mouse X,Accesorios,2,50.0,Tacna,100.0
2026-01-30,2026,1,Enero,30,2026Q1,Monitor 24,Computadoras,1,807.5,Tacna,807.5
2026-03-01,2026,3,Marzo,1,2026Q1,Laptop C,Computadoras,8,4305.0,Juliaca,34440.0
2026-08-13,2026,8,Agosto,13,2026Q3,Laptop A,Computadoras,17,2750.0,Juliaca,46750.0
2026-01-30,2026,1,Enero,30,2026Q1,Router WiFi,Redes,15,253.0,Lima,3795.0
2026-01-02,2026,1,Enero,2,2026Q1,Mouse X,Accesorios,18,45.0,Arequipa,810.0
2026-06-20,2026,6,Junio,20,2026Q2,Laptop B,Computadoras,15,3520.0,Tacna,52800.0
2026-07-08,2026,7,Julio,8,2026Q3,Mouse Gamer,Accesorios,16,171.0,Lima,2736.0
2026-08-18,2026,8,Agosto,18,2026Q3,USB 64GB,Almacenamiento,12,49.5,Juliaca,594.0
2026-05-04,2026,5,Mayo,4,2026Q2,Monitor 24,Computadoras,16,850.0,Trujillo,13600.0
2026-05-01,2026,5,Mayo,1,2026Q2,Mouse Gamer,Accesorios,20,198.0,Tacna,3960.0
2026-04-04,2026,4,Abril,4,2026Q2,Cable UTP,Redes,7,25.0,Juliaca,175.0
2026-08-09,2026,8,Agosto,9,2026Q3,Switch 8P,Redes,6,310.0,Moquegua,1860.0
2026-02-24,2026,2,Febrero,24,2026Q1,Router WiFi,Redes,3,253.0,Puno,759.0
2026-05-21,2026,5,Mayo,21,2026Q2,Cable UTP,Redes,3,25.0,Juliaca,75.0
2026-03-28,2026,3,Marzo,28,2026Q1,Teclado K1,Accesorios,5,120.0,Tacna,600.0
2026-03-10,2026,3,Marzo,10,2026Q1,Webcam HD,Accesorios,9,190.0,Cusco,1710.0
2026-08-17,2026,8,Agosto,17,2026Q3,Disco SSD 2TB,Almacenamiento,7,690.0,Juliaca,4830.0
2026-02-13,2026,2,Febrero,13,2026Q1,USB 64GB,Almacenamiento,4,40.5,Lima,162.0
2026-07-02,2026,7,Julio,2,2026Q3,Switch 8P,Redes,19,279.0,Puno,5301.0
2026-01-09,2026,1,Enero,9,2026Q1,Switch 8P,Redes,3,294.5,Puno,883.5
2026-07-19,2026,7,Julio,19,2026Q3,Router WiFi,Redes,4,230.0,Trujillo,920.0
2026-07-14,2026,7,Julio,14,2026Q3,USB 128GB,Almacenamiento,7,71.25,Tacna,498.75
2026-03-08,2026,3,Marzo,8,2026Q1,Audífonos Pro,Accesorios,17,275.0,Trujillo,4675.0
2026-05-04,2026,5,Mayo,4,2026Q2,Laptop C,Computadoras,8,4100.0,Cusco,32800.0
2026-01-17,2026,1,Enero,17,2026Q1,Laptop B,Computadoras,4,3360.0,Lima,13440.0
2026-04-05,2026,4,Abril,5,2026Q2,Disco SSD 2TB,Almacenamiento,19,690.0,Cusco,13110.0
2026-03-12,2026,3,Marzo,12,2026Q1,Laptop B,Computadoras,15,3200.0,Tacna,48000.0
2026-06-20,2026,6,Junio,20,2026Q2,Switch 8P,Redes,1,310.0,Juliaca,310.0
2026-04-25,2026,4,Abril,25,2026Q2,Monitor 24,Computadoras,18,850.0,Moquegua,15300.0
2026-03-23,2026,3,Marzo,23,2026Q1,Disco SSD 1TB,Almacenamiento,7,342.0,Arequipa,2394.0
2026-01-12,2026,1,Enero,12,2026Q1,Webcam HD,Accesorios,11,171.0,Trujillo,1881.0
2026-04-03,2026,4,Abril,3,2026Q2,Impresora Multifunción,Impresoras,9,1150.0,Tacna,10350.0
2026-06-02,2026,6,Junio,2,2026Q2,Laptop A,Computadoras,5,2500.0,Arequipa,12500.0
2026-06-27,2026,6,Junio,27,2026Q2,PC Gamer X,Computadoras,13,5200.0,Arequipa,67600.0
2026-03-03,2026,3,Marzo,3,2026Q1,PC Gamer X,Computadoras,8,5200.0,Cusco,41600.0
2026-04-12,2026,4,Abril,12,2026Q2,Mouse X,Accesorios,14,55.0,Trujillo,770.0
2026-06-08,2026,6,Junio,8,2026Q2,USB 64GB,Almacenamiento,17,45.0,Puno,765.0
2026-02-20,2026,2,Febrero,20,2026Q1,Mouse Gamer,Accesorios,20,180.0,Cusco,3600.0
2026-01-30,2026,1,Enero,30,2026Q1,Teclado K1,Accesorios,2,120.0,Tacna,240.0
2026-08-03,2026,8,Agosto,3,2026Q3,USB 128GB,Almacenamiento,12,71.25,Moquegua,855.0
2026-07-21,2026,7,Julio,21,2026Q3,Impresora A,Impresoras,16,819.0,Trujillo,13104.0
2026-03-26,2026,3,Marzo,26,2026Q1,Mouse Gamer,Accesorios,14,171.0,Juliaca,2394.0
2026-03-07,2026,3,Marzo,7,2026Q1,Mouse X,Accesorios,8,50.0,Tacna,400.0
2026-01-08,2026,1,Enero,8,2026Q1,Impresora A,Impresoras,11,858.0,Puno,9438.0
2026-06-29,2026,6,Junio,29,2026Q2,Disco SSD 1TB,Almacenamiento,3,418.0,Trujillo,1254.0
2026-05-04,2026,5,Mayo,4,2026Q2,Laptop A,Computadoras,16,2500.0,Trujillo,40000.0
2026-03-21,2026,3,Marzo,21,2026Q1,Monitor 27,Computadoras,3,1250.0,Cusco,3750.0
2026-06-27,2026,6,Junio,27,2026Q2,PC Gamer X,Computadoras,10,4680.0,Puno,46800.0
2026-03-12,2026,3,Marzo,12,2026Q1,Switch 8P,Redes,1,310.0,Juliaca,310.0
2026-04-28,2026,4,Abril,28,2026Q2,Router WiFi,Redes,13,207.0,Cusco,2691.0
2026-03-21,2026,3,Marzo,21,2026Q1,Disco SSD 1TB,Almacenamiento,19,380.0,Tacna,7220.0
2026-02-09,2026,2,Febrero,9,2026Q1,Impresora Multifunción,Impresoras,9,1150.0,Arequipa,10350.0
2026-05-25,2026,5,Mayo,25,2026Q2,Monitor 27,Computadoras,8,1312.5,Cusco,10500.0
2026-05-13,2026,5,Mayo,13,2026Q2,PC Gamer X,Computadoras,16,5200.0,Juliaca,83200.0
2026-05-16,2026,5,Mayo,16,2026Q2,Cable UTP,Redes,9,25.0,Trujillo,225.0
2026-06-19,2026,6,Junio,19,2026Q2,Impresora A,Impresoras,8,819.0,Trujillo,6552.0
2026-06-16,2026,6,Junio,16,2026Q2,Impresora Multifunción,Impresoras,19,1092.5,Cusco,20757.5
2026-08-04,2026,8,Agosto,4,2026Q3,Webcam HD,Accesorios,11,180.5,Moquegua,1985.5
2026-02-24,2026,2,Febrero,24,2026Q1,Disco SSD 2TB,Almacenamiento,10,690.0,Cusco,6900.0
2026-07-30,2026,7,Julio,30,2026Q3,PC Gamer X,Computadoras,16,5200.0,Puno,83200.0
2026-01-04,2026,1,Enero,4,2026Q1,Mouse X,Accesorios,3,47.5,Trujillo,142.5
2026-06-16,2026,6,Junio,16,2026Q2,Teclado K1,Accesorios,3,120.0,Trujillo,360.0
2026-06-20,2026,6,Junio,20,2026Q2,Mouse X,Accesorios,3,55.0,Lima,165.0
2026-03-24,2026,3,Marzo,24,2026Q1,USB 64GB,Almacenamiento,14,45.0,Moquegua,630.0
2026-07-06,2026,7,Julio,6,2026Q3,Webcam HD,Accesorios,14,180.5,Lima,2527.0
2026-03-19,2026,3,Marzo,19,2026Q1,Monitor 24,Computadoras,15,807.5,Moquegua,12112.5
2026-06-14,2026,6,Junio,14,2026Q2,Mouse X,Accesorios,6,52.5,Cusco,315.0
2026-01-15,2026,1,Enero,15,2026Q1,Mouse Gamer,Accesorios,16,180.0,Trujillo,2880.0
2026-04-15,2026,4,Abril,15,2026Q2,Laptop A,Computadoras,8,2500.0,Tacna,20000.0
2026-01-01,2026,1,Enero,1,2026Q1,Impresora A,Impresoras,13,780.0,Tacna,10140.0
2026-02-27,2026,2,Febrero,27,2026Q1,Laptop B,Computadoras,19,3520.0,Trujillo,66880.0
2026-04-07,2026,4,Abril,7,2026Q2,Disco SSD 1TB,Almacenamiento,3,380.0,Puno,1140.0
2026-06-08,2026,6,Junio,8,2026Q2,Impresora A,Impresoras,20,741.0,Puno,14820.0
2026-01-31,2026,1,Enero,31,2026Q1,Laptop A,Computadoras,7,2750.0,Cusco,19250.0
2026-05-25,2026,5,Mayo,25,2026Q2,USB 128GB,Almacenamiento,1,82.5,Moquegua,82.5
2026-02-28,2026,2,Febrero,28,2026Q1,Disco SSD 1TB,Almacenamiento,16,361.0,Puno,5776.0
2026-08-14,2026,8,Agosto,14,2026Q3,USB 128GB,Almacenamiento,4,82.5,Tacna,330.0
2026-04-13,2026,4,Abril,13,2026Q2,PC Gamer X,Computadoras,5,4680.0,Puno,23400.0
2026-03-07,2026,3,Marzo,7,2026Q1,Monitor 24,Computadoras,5,850.0,Juliaca,4250.0
2026-01-21,2026,1,Enero,21,2026Q1,Router WiFi,Redes,2,230.0,Trujillo,460.0
2026-08-06,2026,8,Agosto,6,2026Q3,USB 128GB,Almacenamiento,12,71.25,Cusco,855.0
2026-04-21,2026,4,Abril,21,2026Q2,USB 64GB,Almacenamiento,11,40.5,Tacna,445.5
2026-01-22,2026,1,Enero,22,2026Q1,Teclado K1,Accesorios,10,120.0,Arequipa,1200.0
2026-07-30,2026,7,Julio,30,2026Q3,Disco SSD 2TB,Almacenamiento,6,621.0,Trujillo,3726.0
2026-06-27,2026,6,Junio,27,2026Q2,Laptop A,Computadoras,8,2625.0,Lima,21000.0
2026-01-03,2026,1,Enero,3,2026Q1,Mouse Gamer,Accesorios,19,162.0,Juliaca,3078.0
2026-02-11,2026,2,Febrero,11,2026Q1,Mouse Gamer,Accesorios,7,162.0,Juliaca,1134.0
2026-06-08,2026,6,Junio,8,2026Q2,Audífonos Pro,Accesorios,2,225.0,Tacna,450.0
2026-03-23,2026,3,Marzo,23,2026Q1,Mouse X,Accesorios,5,50.0,Tacna,250.0
2026-08-17,2026,8,Agosto,17,2026Q3,Cable UTP,Redes,2,25.0,Puno,50.0
2026-04-04,2026,4,Abril,4,2026Q2,Cable UTP,Redes,14,22.5,Trujillo,315.0
2026-07-29,2026,7,Julio,29,2026Q3,PC Gamer X,Computadoras,18,5460.0,Cusco,98280.0
2026-01-04,2026,1,Enero,4,2026Q1,Router WiFi,Redes,19,230.0,Trujillo,4370.0
2026-01-02,2026,1,Enero,2,2026Q1,Switch 8P,Redes,7,310.0,Juliaca,2170.0
2026-01-27,2026,1,Enero,27,2026Q1,Impresora Multifunción,Impresoras,5,1265.0,Cusco,6325.0
2026-04-19,2026,4,Abril,19,2026Q2,Laptop A,Computadoras,2,2250.0,Puno,4500.0
2026-04-30,2026,4,Abril,30,2026Q2,Teclado K1,Accesorios,10,120.0,Juliaca,1200.0
2026-06-25,2026,6,Junio,25,2026Q2,Teclado K1,Accesorios,12,120.0,Puno,1440.0
2026-06-18,2026,6,Junio,18,2026Q2,Cable UTP,Redes,1,22.5,Lima,22.5
2026-02-26,2026,2,Febrero,26,2026Q1,USB 64GB,Almacenamiento,12,47.25,Puno,567.0
2026-04-05,2026,4,Abril,5,2026Q2,Webcam HD,Accesorios,2,171.0,Lima,342.0
2026-06-15,2026,6,Junio,15,2026Q2,Mouse Gamer,Accesorios,2,171.0,Lima,342.0
2026-04-03,2026,4,Abril,3,2026Q2,Webcam HD,Accesorios,14,190.0,Trujillo,2660.0
2026-02-16,2026,2,Febrero,16,2026Q1,Disco SSD 1TB,Almacenamiento,7,380.0,Puno,2660.0
2026-01-23,2026,1,Enero,23,2026Q1,Router WiFi,Redes,15,230.0,Puno,3450.0
2026-05-08,2026,5,Mayo,8,2026Q2,Laptop C,Computadoras,12,4100.0,Puno,49200.0
2026-05-06,2026,5,Mayo,6,2026Q2,Monitor 24,Computadoras,7,807.5,Juliaca,5652.5
2026-02-26,2026,2,Febrero,26,2026Q1,Webcam HD,Accesorios,8,190.0,Puno,1520.0
2026-04-15,2026,4,Abril,15,2026Q2,Audífonos Pro,Accesorios,16,262.5,Juliaca,4200.0
2026-03-13,2026,3,Marzo,13,2026Q1,Impresora Multifunción,Impresoras,15,1150.0,Juliaca,17250.0
2026-03-01,2026,3,Marzo,1,2026Q1,Impresora A,Impresoras,8,702.0,Trujillo,5616.0
2026-07-11,2026,7,Julio,11,2026Q3,Mouse Gamer,Accesorios,12,180.0,Puno,2160.0
2026-06-22,2026,6,Junio,22,2026Q2,Impresora A,Impresoras,12,780.0,Trujillo,9360.0
2026-03-06,2026,3,Marzo,6,2026Q1,Monitor 24,Computadoras,10,850.0,Lima,8500.0
2026-05-26,2026,5,Mayo,26,2026Q2,USB 128GB,Almacenamiento,3,75.0,Puno,225.0
2026-08-19,2026,8,Agosto,19,2026Q3,Switch 8P,Redes,13,310.0,Cusco,4030.0
2026-02-09,2026,2,Febrero,9,2026Q1,USB 128GB,Almacenamiento,11,71.25,Juliaca,783.75
2026-01-31,2026,1,Enero,31,2026Q1,Disco SSD 2TB,Almacenamiento,7,690.0,Arequipa,4830.0
2026-03-08,2026,3,Marzo,8,2026Q1,PC Gamer X,Computadoras,8,4940.0,Lima,39520.0
2026-03-20,2026,3,Marzo,20,2026Q1,Impresora Multifunción,Impresoras,18,1265.0,Cusco,22770.0
2026-04-21,2026,4,Abril,21,2026Q2,Monitor 27,Computadoras,11,1187.5,Juliaca,13062.5
2026-02-28,2026,2,Febrero,28,2026Q1,Disco SSD 1TB,Almacenamiento,11,342.0,Lima,3762.0
2026-03-28,2026,3,Marzo,28,2026Q1,Laptop C,Computadoras,5,4100.0,Cusco,20500.0
2026-05-05,2026,5,Mayo,5,2026Q2,Router WiFi,Redes,14,218.5,Trujillo,3059.0
2026-07-28,2026,7,Julio,28,2026Q3,Laptop B,Computadoras,2,3040.0,Arequipa,6080.0
2026-03-31,2026,3,Marzo,31,2026Q1,Disco SSD 2TB,Almacenamiento,7,724.5,Trujillo,5071.5
2026-03-25,2026,3,Marzo,25,2026Q1,Cable UTP,Redes,13,25.0,Cusco,325.0
2026-05-20,2026,5,Mayo,20,2026Q2,Impresora A,Impresoras,6,702.0,Juliaca,4212.0
2026-04-10,2026,4,Abril,10,2026Q2,Teclado K1,Accesorios,4,120.0,Cusco,480.0
2026-04-25,2026,4,Abril,25,2026Q2,USB 128GB,Almacenamiento,15,75.0,Lima,1125.0
2026-04-03,2026,4,Abril,3,2026Q2,Laptop A,Computadoras,18,2250.0,Cusco,40500.0
2026-05-15,2026,5,Mayo,15,2026Q2,Mouse X,Accesorios,17,47.5,Puno,807.5
2026-06-27,2026,6,Junio,27,2026Q2,Monitor 24,Computadoras,15,807.5,Moquegua,12112.5
2026-01-16,2026,1,Enero,16,2026Q1,Laptop A,Computadoras,14,2500.0,Lima,35000.0
2026-07-17,2026,7,Julio,17,2026Q3,Mouse X,Accesorios,20,50.0,Arequipa,1000.0
2026-08-10,2026,8,Agosto,10,2026Q3,Webcam HD,Accesorios,6,171.0,Arequipa,1026.0
2026-02-27,2026,2,Febrero,27,2026Q1,Router WiFi,Redes,20,230.0,Arequipa,4600.0
2026-06-08,2026,6,Junio,8,2026Q2,Mouse Gamer,Accesorios,17,180.0,Juliaca,3060.0
2026-02-19,2026,2,Febrero,19,2026Q1,Monitor 24,Computadoras,12,807.5,Puno,9690.0
2026-03-30,2026,3,Marzo,30,2026Q1,Impresora A,Impresoras,15,780.0,Trujillo,11700.0
2026-01-29,2026,1,Enero,29,2026Q1,Webcam HD,Accesorios,14,199.5,Lima,2793.0
2026-05-20,2026,5,Mayo,20,2026Q2,Disco SSD 2TB,Almacenamiento,2,724.5,Moquegua,1449.0
2026-02-26,2026,2,Febrero,26,2026Q1,Monitor 24,Computadoras,3,850.0,Tacna,2550.0
2026-06-06,2026,6,Junio,6,2026Q2,Laptop B,Computadoras,5,3520.0,Puno,17600.0
2026-05-19,2026,5,Mayo,19,2026Q2,Mouse Gamer,Accesorios,18,171.0,Tacna,3078.0
2026-08-16,2026,8,Agosto,16,2026Q3,Monitor 24,Computadoras,1,850.0,Cusco,850.0
2026-01-02,2026,1,Enero,2,2026Q1,Disco SSD 1TB,Almacenamiento,7,380.0,Moquegua,2660.0
2026-08-15,2026,8,Agosto,15,2026Q3,Impresora A,Impresoras,2,741.0,Arequipa,1482.0
2026-03-15,2026,3,Marzo,15,2026Q1,Router WiFi,Redes,10,207.0,Arequipa,2070.0
2026-05-30,2026,5,Mayo,30,2026Q2,Impresora Multifunción,Impresoras,15,1265.0,Tacna,18975.0
2026-03-28,2026,3,Marzo,28,2026Q1,Teclado K1,Accesorios,19,132.0,Puno,2508.0
2026-05-08,2026,5,Mayo,8,2026Q2,Monitor 27,Computadoras,9,1187.5,Cusco,10687.5
2026-03-20,2026,3,Marzo,20,2026Q1,Mouse Gamer,Accesorios,6,162.0,Tacna,972.0
2026-07-22,2026,7,Julio,22,2026Q3,Impresora Multifunción,Impresoras,9,1265.0,Puno,11385.0
2026-01-20,2026,1,Enero,20,2026Q1,Laptop A,Computadoras,6,2500.0,Lima,15000.0
2026-07-23,2026,7,Julio,23,2026Q3,Disco SSD 1TB,Almacenamiento,13,380.0,Lima,4940.0
